codigo_de_producto,Categoria_padre,Categoria_hijo,Subcategoria_1,Subcategoria_2,Subcategoria_3,Tipo_de_producto,Nombre_de_producto,Venta_por_unidad_o_paquete,Tipo_de_unidad,Unidades_por_paquete,Marca,Material_composicion_y_porcentajes,Importado_o_hecho_en_mexico,Colores_presentes_en_producto,Blank,Tallas,Observaciones,Foto
2819, mujer, Ropa, Ropa Interior, Brasier, , Novedad, Brasieres Moda Coloridos, paquete, Piezas, , , , Importado, varios colores Negro-Gris-Rosa-Azul, , 38-44, Conjunto de brasieres en colores variados,https://rintin.mx/wp-content/uploads/2025/01/image20-1.jpeg
,,,,,,,,,,,,,,,,,,https://rintin.mx/wp-content/uploads/2025/01/image19-1.jpeg
1106, mujer, Ropa, Ropa Interior, , , , Conjunto De Lenceria, paquete, Piezas, , , , Importado, varios colores Beige-Rosa-Rojo-Negro-Azul, , 36-42, Incluye sosten y panty,https://rintin.mx/wp-content/uploads/2025/01/image18-1.jpeg
,,,,,,,,,,,,,,,,,,https://rintin.mx/wp-content/uploads/2025/01/image17-1.jpeg
,,,,,,,,,,,,,,,,,,https://rintin.mx/wp-content/uploads/2025/01/image16-1.jpeg
, mujer, Ropa, Ropa Interior, Brasier, Encaje, Linea continua, Set De Lenceria Variada, paquete, Paquetes, , , , Importado, varios colores Negro-Rosa-Piel-Azul, , , Conjunto femenino atractivo y colorido,https://rintin.mx/wp-content/uploads/2025/01/image15.png
522#, mujer, Ropa, Ropa Interior, Brasier, Encaje, Novedad, Conjunto De Brasieres, paquete, Piezas, , , , Importado, varios colores Gris-Negro-Rojo-Azul-Morado-Rosa, , 38-44, Lenceria de encaje elegante,https://rintin.mx/wp-content/uploads/2025/01/image14-1.jpeg
,,,,,,,,,,,,,,,,,,https://rintin.mx/wp-content/uploads/2025/01/image13-1.jpeg
1102#36-42, mujer, Ropa, Ropa Interior, Conjuntos, , Novedad, Conjunto Lenceria Mujer, paquete, Piezas, , , , Importado, varios colores Rosa-Azul-Rojo-Negro-Beige, , 36-42, Incluye varias tallas y colores,https://rintin.mx/wp-content/uploads/2025/01/image12-1.jpeg
2816, mujer, Ropa, Ropa Interior, Brasier, , Novedad, Brasieres Coloridos, paquete, Piezas, , , , Importado, varios colores Amarillo-Crema-Gris-Rosa-Negro-Azul-Rojo, , 38-44, Sin observaciones,https://rintin.mx/wp-content/uploads/2025/01/image11-1.jpeg
